S28000091,1,2,5,12,9,1,2,3,3,1,1,3,31,117,84,54,21,3,4,15,2,1,3,1,1,11,13,15,5,1,9,3,5,3,3,4,10,15,22,21,9,7,9,6,6,2,1,0,0,3,5,5,3,6,1,0,0,1,1,0,56,123,49,42,12,2,1,4,4,1,2,1,1,2,6,2,5,0,1,2,4,1,0,1,3,3,17,8,9,5,10,3,1,1,4,7
S28000092,2,2,12,43,21,16,11,7,7,3,4,6,59,85,97,86,40,27,14,12,18,15,8,11,4,4,10,19,16,13,10,13,12,7,6,13,12,11,20,20,13,16,19,11,25,15,26,13,2,4,22,25,15,6,4,6,11,2,4,0,57,98,96,75,22,24,15,8,26,14,13,9,7,4,10,19,4,2,6,6,4,8,5,1,8,9,26,26,12,18,14,13,15,17,23,34
S28000093,2,3,13,46,42,8,8,7,5,4,1,2,34,97,86,78,50,22,13,8,11,3,8,5,3,3,11,21,8,9,5,8,7,3,2,1,7,6,16,16,9,5,9,9,7,6,6,4,1,2,22,45,22,10,4,5,3,4,1,0,50,72,73,59,35,19,16,10,13,6,3,6,4,0,8,8,4,2,7,7,1,2,0,3,7,5,17,11,6,8,10,12,9,5,2,2
S28000094,2,1,32,40,35,17,14,6,15,3,9,7,82,203,178,115,31,10,11,5,13,11,12,6,3,2,15,9,5,8,10,5,7,4,7,9,7,6,26,41,6,5,8,5,5,8,4,6,5,4,20,51,29,17,12,12,10,13,8,5,129,388,232,92,25,14,8,11,18,7,13,11,1,2,8,12,6,3,3,6,3,2,2,5,5,17,24,20,10,10,8,8,12,7,8,16
S28000095,2,4,14,41,32,14,9,5,5,5,5,12,79,215,176,157,69,24,9,23,17,9,4,3,8,7,12,34,15,17,16,12,18,13,13,17,20,17,31,53,36,30,40,37,23,15,20,15,0,3,27,43,21,9,8,3,3,5,2,4,109,273,164,113,23,31,17,23,16,13,9,13,6,4,10,22,10,5,9,7,12,6,5,5,33,19,25,44,21,26,19,39,34,15,15,27
S28000104,55,16,63,121,118,99,111,109,105,85,89,159,92,251,266,171,103,55,59,81,105,56,54,61,22,11,30,25,23,24,33,29,45,37,33,45,19,19,46,60,23,23,18,32,25,30,43,37,50,18,70,129,128,90,101,127,97,101,75,33,154,330,261,152,90,55,70,103,116,66,199,76,13,7,23,22,21,12,30,28,36,34,19,28,25,33,35,37,30,15,27,33,32,27,32,72
S28000105,11,12,26,88,75,26,36,33,24,24,34,90,93,118,168,142,99,58,56,83,78,69,69,65,32,26,38,64,46,50,62,68,75,75,54,100,68,18,57,78,54,62,60,97,77,66,82,69,18,3,29,91,56,33,34,34,35,27,28,8,64,118,162,152,82,78,71,104,106,99,202,63,36,19,40,46,39,35,47,56,76,52,42,39,54,29,55,78,63,47,72,89,91,80,78,187
S28000106,11,7,9,29,25,18,18,21,14,10,11,31,43,22,33,71,44,44,63,70,48,37,36,55,30,20,28,41,36,57,61,60,57,40,60,90,74,32,50,88,67,114,111,103,97,76,89,79,9,8,10,39,24,23,22,23,18,10,7,4,51,25,49,91,66,71,68,86,69,61,86,49,33,18,29,28,43,46,53,54,35,34,36,27,91,47,65,88,99,82,123,120,115,80,104,166
S28000107,15,8,12,43,43,37,40,43,21,22,27,81,69,49,78,136,117,81,92,86,99,76,55,73,46,27,46,106,70,80,96,109,125,92,86,147,99,44,78,133,93,105,109,125,168,108,100,117,18,6,23,55,50,26,37,40,37,21,21,15,79,48,99,196,144,118,112,133,138,97,167,84,55,21,50,73,69,56,77,113,98,64,71,36,118,62,99,192,133,143,120,171,166,91,142,229
S28000108,28,7,12,18,15,50,47,58,52,49,26,74,28,10,10,15,16,41,41,52,47,54,54,45,21,6,13,10,17,18,18,35,45,28,30,34,8,5,4,13,3,4,5,24,13,13,18,26,21,11,14,9,33,41,62,62,46,39,34,14,31,7,20,13,16,42,75,55,57,58,107,57,10,10,20,12,14,23,22,38,33,22,25,23,14,3,10,11,7,7,16,22,12,18,25,47
S28000109,14,10,4,18,28,29,34,51,27,34,23,70,27,7,25,24,23,27,31,38,39,25,45,34,19,5,7,18,14,17,25,32,22,19,27,43,16,4,5,15,7,9,14,16,17,18,28,18,15,5,7,24,33,31,47,44,32,37,27,18,21,12,13,30,24,38,45,60,42,38,111,46,10,4,11,13,19,20,25,27,10,13,22,25,8,3,12,14,11,17,19,16,17,14,28,50
S28000110,11,1,7,9,6,7,14,18,15,20,20,23,10,4,2,7,9,19,12,15,18,14,25,19,10,4,2,6,9,11,13,20,11,12,11,13,5,1,3,3,2,2,11,8,9,8,2,10,8,2,6,5,7,13,19,22,17,19,21,0,10,4,8,11,15,12,17,19,25,20,35,22,10,2,2,3,7,8,18,15,9,12,11,7,4,0,2,4,6,2,8,10,4,2,7,15
S28000111,7,2,2,17,20,26,21,12,9,5,8,25,42,25,31,43,38,44,65,55,34,41,22,21,37,15,26,27,50,61,54,73,53,48,56,69,91,38,53,74,50,67,81,83,65,75,75,70,7,1,4,20,23,28,22,12,10,8,13,3,46,18,30,67,62,61,81,75,53,45,51,38,45,12,26,38,45,59,56,56,45,45,54,21,88,33,44,73,69,90,100,133,91,86,87,107
S28000112,9,12,18,57,56,50,30,41,42,25,39,79,92,81,142,153,88,57,79,62,84,57,52,58,14,12,19,51,48,41,43,54,62,58,62,135,44,24,42,85,60,57,86,98,83,68,78,123,14,10,18,85,66,46,28,40,25,35,47,8,84,99,120,127,80,73,64,88,89,67,143,78,21,15,18,45,31,33,26,35,39,26,52,40,59,31,67,79,34,49,66,86,91,76,106,239
S28000113,5,7,17,38,33,19,19,15,10,8,9,31,77,68,109,145,85,62,58,58,35,44,26,28,31,24,30,78,65,51,64,59,73,60,59,103,70,34,91,168,115,92,100,135,108,118,84,109,6,4,11,47,34,15,12,13,16,3,8,1,68,66,142,123,94,84,69,81,52,41,62,39,22,21,38,57,36,34,32,47,32,35,31,31,85,50,89,125,76,63,90,117,106,84,85,193
S28000114,13,10,16,24,25,32,32,18,35,48,26,78,66,32,67,90,57,47,56,91,68,56,66,67,30,18,26,53,44,38,52,69,87,70,67,101,33,14,28,52,34,51,70,58,65,52,78,102,17,8,13,34,35,36,47,24,39,38,24,9,56,43,47,73,69,62,89,92,76,80,192,87,23,15,22,36,34,24,39,61,59,48,47,42,35,18,47,48,37,33,45,64,62,67,98,198
S28000115,15,4,3,28,28,26,22,27,33,16,11,72,64,40,48,83,73,54,80,86,74,69,59,81,50,30,42,69,59,50,91,85,112,71,79,161,72,32,57,63,65,68,104,111,87,91,101,98,13,5,10,20,30,31,25,29,24,14,14,3,65,41,41,92,79,89,92,130,121,93,185,69,48,17,31,71,35,67,75,93,82,67,65,37,74,38,70,97,63,79,97,127,115,88,140,253
S28000116,4,0,1,3,3,6,8,9,9,6,14,16,6,4,5,8,4,8,16,12,16,9,15,13,11,3,5,10,5,8,14,17,27,13,11,8,2,0,2,5,1,3,5,4,11,15,7,14,2,1,1,3,6,11,10,9,11,12,9,3,7,1,4,10,7,9,12,14,14,15,18,9,9,3,2,11,7,9,16,15,22,12,8,4,0,3,0,4,1,0,5,4,16,10,11,22
S28000117,15,6,11,27,31,22,17,30,20,14,9,39,67,14,33,43,63,58,69,73,61,34,33,31,57,26,30,44,57,61,68,84,63,48,56,75,98,29,41,67,52,74,84,97,74,76,72,62,14,4,7,31,42,25,20,29,16,10,10,2,44,26,37,60,70,72,85,97,66,49,64,40,35,11,29,40,43,61,75,62,60,45,39,14,63,36,33,101,92,72,109,108,80,84,81,121
S28000118,6,2,30,95,48,35,34,20,19,10,3,38,83,98,173,186,104,45,57,53,64,33,36,32,25,18,41,57,70,43,54,53,68,47,36,75,45,42,78,121,88,70,93,102,75,71,70,48,3,5,27,80,44,23,24,17,18,7,8,4,95,99,114,217,97,76,64,60,68,56,72,46,18,16,31,61,32,22,24,35,39,40,21,19,74,41,77,121,101,48,72,73,85,67,80,97
S28000119,37,12,21,51,40,37,54,70,62,52,51,94,58,22,59,94,53,53,83,83,91,76,84,59,36,13,43,43,33,33,52,68,85,61,73,108,32,29,23,62,57,47,65,72,70,72,76,84,21,12,19,44,52,41,54,55,68,50,52,10,57,43,59,108,79,74,81,94,118,79,190,113,40,14,22,35,31,28,44,57,84,52,54,42,46,21,49,82,68,50,64,65,80,68,102,196
S28000120,7,2,8,19,22,12,12,12,14,12,7,39,62,32,49,90,63,65,61,64,46,45,38,33,63,28,45,75,75,70,88,97,108,90,99,120,144,69,101,140,109,117,173,164,154,151,171,143,8,3,10,17,25,14,18,14,16,11,9,6,42,36,60,133,109,99,87,88,82,80,83,62,63,37,44,61,73,62,79,99,82,62,59,42,144,89,125,228,180,176,186,220,190,180,208,276
S28000121,14,7,11,29,31,25,38,23,24,14,13,52,82,35,44,80,75,83,91,70,87,50,51,58,65,35,48,81,77,90,100,96,119,82,108,151,99,64,65,117,90,91,116,131,146,126,159,159,20,6,17,35,36,38,26,32,24,19,13,8,65,30,54,100,118,111,130,124,104,80,138,84,67,31,51,73,88,63,91,91,92,69,69,43,122,60,100,167,163,147,150,162,166,149,216,289
S28000122,30,8,12,17,20,27,49,42,62,49,53,156,25,14,28,36,27,33,42,41,51,59,59,77,17,11,12,23,11,13,20,33,29,36,23,60,8,8,11,8,9,14,22,12,21,23,30,27,30,9,8,15,27,35,46,59,55,70,69,18,25,12,29,35,37,39,54,47,80,60,225,83,10,10,13,17,11,17,23,19,28,27,27,36,8,3,14,18,13,9,16,16,30,24,54,87
S28000123,41,4,24,54,34,43,63,69,85,90,89,185,37,23,42,59,56,67,66,90,65,67,70,70,20,13,20,30,37,29,29,44,48,30,37,63,13,9,17,22,23,26,33,39,29,19,45,33,43,15,17,52,59,58,80,93,91,79,98,28,46,23,34,62,59,76,77,114,89,79,253,95,26,12,18,28,27,27,28,27,41,33,30,39,20,14,22,18,28,32,32,37,32,32,45,102
S28000125,80,12,26,49,74,113,117,96,108,70,67,218,111,32,45,72,66,89,138,146,139,98,114,85,39,26,15,35,43,54,79,92,70,40,36,76,21,9,14,16,18,27,36,29,47,40,55,31,47,17,23,63,83,117,134,115,104,66,83,23,88,27,35,78,87,142,151,166,147,120,291,140,29,15,22,33,46,46,75,72,50,35,48,41,26,9,8,20,31,33,37,45,37,34,62,152
S28000126,45,26,26,40,39,65,68,80,69,70,92,230,90,39,31,49,62,70,95,123,109,83,128,104,43,23,31,27,36,37,57,68,67,62,63,116,26,5,14,23,18,34,35,45,45,34,64,52,41,14,32,28,40,84,83,71,78,80,88,16,72,23,26,52,73,88,131,138,113,106,322,156,25,14,21,24,33,46,56,63,55,49,74,44,20,11,15,17,26,29,33,46,44,41,94,158
